대주제,소주제,질문(Question),답변(Answer),관련 태그
"위촉 심사 및 제한","위촉 결격 사유","협회 등록 심사 자체가 불가능한 '위촉 불가' 결격 사유에는 어떤 항목들이 포함됩니까?","파산 이력자(복권되지 않은 자), 보증보험 사고건(보험수당 환수) 보유자, 수당 환수금이 100만 원 이상이면서 신용등급 7~10등급이거나 미상환 중인 자, 고의·과실로 인한 부실모집 사실 등재자, 직전 3년 이내 법규위반 1건 이상 또는 불완전판매 3건 초과자, 경력증명서상 금융사고자 등은 위촉이 절대 불가하며 위촉 중 추가 확인 시 강제 해촉될 수 있습니다.","위촉불가, 결격사유, 금융사고, 불완전판매, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","위촉 제한 대상 중 '심사 대상'으로 분류되어 승인 여부를 판단받아야 하는 기준은 무엇입니까?","금융기관 채무발생 또는 회생/회복 이력자 중 채무액이 1,000만 원 이하인 자(채무조정금액 기준), 이클린상 보증보험 청구 이력이 등재된 자, 직전 3년 이내 5개사 초과 이적자, 당사 3회 이상 등록 시도자, 수당 환수금이 100만 원 이상이나 상환을 완료하고 신용등급이 1~6등급인 자는 심사 대상에 해당하며 별도의 심사 과정을 통해 승인 여부를 결정합니다.","심사대상, 위촉제한, 채무기준, 이적횟수, 심화"
"위촉 심사 및 제한","재입사 규정","당사 퇴사 후 재입사 시 기간에 따른 처리 방식과 제한 규정은 어떻게 적용됩니까?","퇴사 후 협회 말소일로부터 6개월이 경과되지 않은 경우 원칙적으로 전 소속으로 편입됩니다(단, 최상위관리자 동의 및 회사 승인 시 재입사 가능). 6개월이 경과했더라도 전 소속의 계약 및 환수예상금이 남아있으면 소속변경으로 처리됩니다. 협회 말소 후 2년이 경과하고 환수금 및 환수예상금이 전혀 없는 경우에만 일반 재입사가 가능하며, 당사 등록 3회 이상자나 1년 이상 환수금 미상환자는 재입사가 제한됩니다.","재입사기준, 소속편입, 환수금, 말소기간, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","금융/사고 규제 대상자 중 '심사 대상'으로 분류되는 기준은 무엇인가요?","금융기관 채무 발생자 중 채무액이 1,000만 원 이하(대출, 카드, 세금, 핸드폰 미납 등)인 경우 심사 대상에 해당하며, 채무확인서나 변제확인서 등의 증빙 자료가 필요합니다.","금융규제, 심사대상, 채무액기준, 증빙서류, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","신용회복 또는 개인회생 이력자의 위촉 심사 기준은 어떻게 되나요?","회생/회복 이력자 중 채무액이 1,000만 원 이하인 경우 심사 대상입니다. 판결문이나 상환계획서 등을 제출하여 심사를 받아야 합니다.","개인회생, 신용회복, 심사기준, 채무조정, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","이적 횟수가 과다한 설계사의 위촉 제한 기준은 무엇인가요?","최근 3년 이내에 5개사를 초과하여 이적한 경력이 있는 경우 심사 대상에 해당합니다. 이는 e클린보험서비스 및 협회 조회를 통해 확인됩니다.","이적횟수, 위촉제한, 심사대상, 경력조회, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","수당 환수 이력이 있는 경우 위촉이 가능한 조건은 무엇인가요?","수당 환수가 100만 원 이상인 경우, 상환을 완료하고 신용등급이 1~6등급 이내라면 심사 대상으로서 위촉 가능성을 검토할 수 있습니다. 상환 완료 확인서 제출이 필수입니다.","수당환수, 상환완료, 신용등급, 심사대상, 심화"
"위촉 심사 및 제한","위촉 결격 사유","파산 선고를 받은 자의 위촉 가능 여부 및 예외 조건은 무엇인가요?","파산 이력자는 원칙적으로 위촉 불가 대상입니다. 단, 복권된 경우에는 심사 대상이 될 수 있으나 복권되지 아니한 자는 위촉이 엄격히 제한됩니다.","파산자, 위촉불가, 복권여부, 결격사유, 심화"
"위촉 심사 및 제한","심사 대상 및 기준","보험사고와 관련된 사고수당 환수 이력자의 위촉 규정은 어떻게 되나요?","보증보험 사고건(보험수당 환수)이 있는 자는 위촉 불가 대상으로 분류됩니다.","보험사고, 사고수당, 보증보험사고, 위촉불가, 일반"
"위촉 심사 및 제한","심사 대상 및 기준","수당 환수금이 미상환 상태인 경우의 위촉 처리 기준은 무엇인가요?","수당 환수(100만 원 이상) 건에 대해 상환 중이거나 미상환 상태인 경우, 등급과 관계없이 위촉 불가 대상입니다.","수당미상환, 위촉불가, 환수금, 결격사유, 심화"
